station_id,city,area,latitude,longitude,installation_date,number_of_chargers,charger_type,power_capacity_kw,rental_cost_per_month,maintenance_cost_per_month
22,Delhi,North,13.346777,86.985398,2023-10-18,5,AC,180,113699.00,24535.00
23,Chennai,North,16.914602,83.135348,2023-03-07,11,AC,120,119163.00,59753.00
24,Hyderabad,North,17.756206,80.913061,2023-10-04,7,"DC Fast",120,98944.00,48711.00
25,Chennai,East,21.492693,75.683730,2023-03-03,7,AC,60,94313.00,21378.00
26,Chennai,West,28.216396,84.892072,2023-04-28,7,AC,60,57716.00,35003.00
27,Delhi,Central,27.738033,86.759307,2023-06-19,5,AC,120,113624.00,34040.00
28,Chennai,North,22.306610,87.181238,2023-10-20,11,AC,120,103354.00,32478.00
29,Delhi,Central,14.207031,75.857333,2023-12-04,10,"DC Fast",120,103883.00,50606.00
30,Pune,Central,13.519114,77.875153,2023-12-11,5,AC,120,94473.00,27161.00
31,Mumbai,North,18.979969,77.033045,2023-04-08,12,"DC Fast",60,105296.00,38030.00
32,Bangalore,East,25.976926,78.365352,2023-05-08,5,"DC Fast",180,62833.00,23315.00
33,Pune,West,17.266859,81.266059,2023-01-08,5,AC,60,103269.00,51826.00
34,Hyderabad,North,15.040695,85.314273,2023-07-25,4,AC,120,50282.00,45586.00
35,Bangalore,East,13.985355,88.195436,2023-05-27,10,"DC Fast",60,74890.00,38030.00
36,Mumbai,Central,25.078692,75.899965,2023-10-24,12,AC,180,91104.00,23746.00
37,Delhi,West,12.887802,85.521198,2023-09-02,12,AC,60,116562.00,25250.00
38,Mumbai,Central,24.039032,84.172512,2023-11-01,5,AC,120,65713.00,38030.00
39,Mumbai,West,25.063199,73.955097,2023-11-01,4,AC,120,118522.00,40733.00
40,Bangalore,North,18.499605,74.607557,2023-12-09,9,AC,120,101876.00,28577.00
41,Pune,South,26.523344,82.523451,2023-08-23,9,AC,60,110068.00,56896.00
42,Delhi,Central,18.061279,73.791510,2023-10-03,7,"DC Fast",60,95745.00,24508.00
43,Mumbai,South,17.744619,77.872860,2023-05-26,6,"DC Fast",180,89651.00,54664.00
44,Delhi,West,24.400738,82.745897,2023-06-03,5,AC,120,65129.00,27014.00
45,Pune,West,26.906683,80.166553,2023-03-21,8,"DC Fast",180,77607.00,42471.00
46,Mumbai,South,14.701549,83.926619,2023-09-16,11,"DC Fast",60,62097.00,47759.00
47,Bangalore,Central,24.896482,81.555924,2023-01-02,9,AC,180,84335.00,30589.00
48,Pune,East,25.058378,80.503211,2023-10-10,10,AC,60,59862.00,29768.00
49,Chennai,Central,21.111452,79.469640,2023-07-09,12,AC,120,66704.00,22741.00
50,Bangalore,South,13.204164,74.483106,2023-01-21,9,AC,180,82706.00,26736.00
51,Bangalore,West,13.299724,82.728002,2023-07-28,6,AC,60,73206.00,47020.00
52,Delhi,North,17.798260,80.733703,2023-06-20,10,AC,120,70866.00,27084.00
53,Hyderabad,Central,27.230307,76.688959,2023-08-29,7,AC,120,95830.00,40000.00
54,Mumbai,North,19.325088,84.586598,2023-01-13,7,"DC Fast",120,86517.00,24549.00
55,Bangalore,South,16.437891,74.000887,2023-11-25,12,"DC Fast",180,93404.00,21808.00
56,Delhi,South,17.407048,75.315052,2023-04-02,8,AC,60,106959.00,42654.00
57,Pune,South,27.582193,85.406678,2023-08-12,12,AC,120,74914.00,36693.00
58,Delhi,East,22.871120,86.394785,2023-01-01,12,AC,120,106531.00,24585.00
59,Pune,South,25.578386,75.710493,2023-11-16,9,AC,180,89363.00,53234.00
60,Bangalore,East,26.991688,81.213739,2023-06-17,10,"DC Fast",180,66683.00,32572.00
61,Hyderabad,East,25.638298,86.779024,2023-12-13,6,"DC Fast",120,50053.00,39914.00
62,Bangalore,North,17.856255,74.516810,2023-08-09,9,"DC Fast",120,107954.00,34005.00
63,Chennai,East,16.424169,79.462882,2023-03-28,5,"DC Fast",180,93933.00,26120.00
64,Mumbai,South,25.806435,86.227397,2023-04-26,7,AC,60,56057.00,36046.00
65,Hyderabad,West,12.910539,80.767658,2023-02-07,11,"DC Fast",180,75485.00,45164.00
66,Hyderabad,East,19.436835,76.264882,2023-05-05,6,AC,60,105724.00,34341.00
67,Mumbai,West,14.705859,78.066797,2023-08-26,4,AC,60,109829.00,28738.00
68,Hyderabad,West,27.792264,77.841966,2023-10-14,9,"DC Fast",180,116162.00,47966.00
69,Chennai,East,21.048771,83.767096,2023-03-23,11,"DC Fast",120,82406.00,38173.00
70,Chennai,East,18.581711,87.959800,2023-11-17,7,"DC Fast",120,60155.00,38725.00
71,Mumbai,South,28.102912,76.727804,2023-06-21,9,AC,60,69769.00,35155.00
72,Hyderabad,North,20.706251,77.493702,2023-12-28,7,AC,120,103424.00,41684.00
73,Chennai,East,17.328964,73.375436,2023-08-01,4,AC,120,101049.00,58278.00
74,Pune,Central,22.492073,80.641793,2023-10-22,10,"DC Fast",60,96105.00,39569.00
75,Hyderabad,East,13.618512,77.146885,2023-10-03,12,AC,120,78760.00,37887.00
76,Hyderabad,East,27.241428,76.537165,2023-01-15,10,"DC Fast",180,102994.00,30816.00
77,Hyderabad,North,15.103828,80.435463,2023-11-15,12,AC,120,53552.00,25501.00
78,Pune,East,28.471842,76.576062,2023-03-11,11,AC,60,84099.00,44844.00
79,Bangalore,North,23.486955,84.681266,2023-08-21,9,"DC Fast",120,86471.00,47627.00
80,Bangalore,Central,16.578437,84.160175,2023-08-29,4,AC,120,79389.00,24496.00
81,Pune,Central,18.647752,82.663971,2023-01-16,7,AC,60,69973.00,35633.00
82,Mumbai,East,22.873122,81.158085,2023-12-09,5,AC,120,83586.00,44175.00
83,Mumbai,West,14.235607,85.830719,2023-11-07,5,AC,120,64168.00,57924.00
84,Delhi,South,17.900403,75.709689,2023-10-22,10,"DC Fast",180,75995.00,24980.00
85,Chennai,North,13.448325,82.017930,2023-02-22,8,AC,180,55383.00,42754.00
86,Chennai,East,23.573273,73.058770,2023-12-05,9,AC,180,94725.00,20829.00
87,Hyderabad,East,20.942280,76.333334,2023-02-24,10,"DC Fast",180,110258.00,30026.00
88,Hyderabad,North,23.058247,75.520116,2023-09-25,8,"DC Fast",120,107091.00,58828.00
89,Bangalore,South,23.785910,78.833071,2023-05-06,5,"DC Fast",120,81963.00,50455.00
90,Chennai,West,27.694007,74.945327,2023-12-09,10,"DC Fast",60,114789.00,41300.00
91,Mumbai,East,18.222955,74.570187,2023-04-19,9,"DC Fast",120,86655.00,59069.00
92,Pune,South,27.502629,86.486494,2023-10-12,4,AC,60,81635.00,46635.00
93,Hyderabad,West,16.901272,83.095751,2023-05-04,11,"DC Fast",120,52260.00,26098.00
94,Bangalore,North,25.793833,81.461133,2023-07-27,7,"DC Fast",180,98368.00,51015.00
95,Chennai,West,21.221444,76.572896,2023-06-26,10,"DC Fast",120,109473.00,37754.00
96,Bangalore,South,14.280334,86.796566,2023-04-29,5,AC,120,65670.00,55118.00
97,Pune,North,27.116647,82.676383,2023-04-09,7,"DC Fast",120,118765.00,59111.00
98,Bangalore,Central,18.190574,78.247669,2023-04-10,8,AC,120,73519.00,39809.00
99,Delhi,West,24.342695,86.794920,2023-03-06,8,AC,60,88290.00,28275.00
100,Pune,East,26.904674,84.966059,2023-02-22,4,"DC Fast",120,112746.00,48866.00
101,Bangalore,North,23.008303,74.112583,2023-01-27,8,"DC Fast",60,58564.00,46260.00
102,Hyderabad,Central,15.369897,86.817445,2023-10-23,4,AC,60,89824.00,25582.00
103,Mumbai,Central,22.442222,72.943474,2023-10-13,10,AC,180,99856.00,49524.00
104,Hyderabad,South,14.413398,83.150628,2023-10-29,10,"DC Fast",180,57894.00,59952.00
105,Pune,Central,12.880479,75.308606,2023-04-17,7,"DC Fast",180,60641.00,30292.00
106,Mumbai,North,21.524867,83.593565,2023-10-10,5,AC,60,103545.00,49524.00
107,Pune,West,23.166184,76.298601,2023-08-29,8,AC,60,87762.00,38528.00
108,Pune,East,24.123650,76.501086,2023-02-06,7,"DC Fast",180,75928.00,47861.00
109,Delhi,West,17.973855,84.445266,2023-04-26,6,"DC Fast",60,59359.00,23908.00
110,Mumbai,South,23.129163,86.047885,2023-11-01,8,"DC Fast",60,111433.00,39928.00
111,Pune,East,23.256045,81.665614,2023-05-20,12,"DC Fast",120,60543.00,59192.00
112,Delhi,East,14.289429,78.536367,2023-06-15,8,AC,60,80005.00,57696.00
113,Chennai,Central,17.016718,76.606238,2023-12-11,8,AC,60,111669.00,54010.00
114,Pune,East,28.270868,78.932325,2023-05-23,6,"DC Fast",180,114451.00,25979.00
115,Hyderabad,South,26.983540,82.645763,2023-07-29,9,"DC Fast",180,63710.00,30539.00
116,Bangalore,East,25.437500,80.641139,2023-12-22,11,"DC Fast",180,102488.00,56051.00
117,Delhi,East,21.972772,80.483276,2023-02-15,9,"DC Fast",120,65194.00,46488.00
118,Chennai,Central,15.904364,84.070253,2023-12-03,12,"DC Fast",120,57104.00,32293.00
119,Chennai,South,17.264281,73.179329,2023-11-15,11,"DC Fast",60,76680.00,37501.00
120,Chennai,North,23.063010,75.562927,2023-05-28,11,"DC Fast",60,53783.00,59903.00
